AFG,climate change,million year,capacity resilience,ghg emission,10 785,785 billion,afghanistan national,assumes ghg,change afghanistan,emissions afghanistan,forest rangelands,republic afghanistan,global environmental,maintaining low,needs usd,100 million,eq gg,islamic republic,adaptive capacity,emissions peak
AGO,scale hydropower,000 000,large scale,power plant,solar power,biomass wasteforest,total project,project cost,gef agency,project activity,climate change,cost million,implementing gef,30 biomass,wind power,agriculture food,government angola,wasteforest 95,tons co2e,angola 2025
ALB,non co2,gas emissions,co2 greenhouse,greenhouse gas,albania developing,albania intends,albania reserves,communication albania,community treaty,emissions albania,indc albania,high uncertainty,decision cp,energy community,following decision,technical conditions,greenhouse gases,19 decision,modelling work,baseline scenario
AND,andorra biennial,biennial report,report united,change 2014,unabsorbed emissions,contributions cpdn,co2 eq,1850 1900,government andorra,climate change,nations framework,united nations,framework convention,convention climate,planned contributions,430 480,based andorra,cpdn andorra,included annex,approval government
ARE,economic diversification,intensive industries,abu dhabi,uae undertaking,arab emirates,paragraph article,united arab,efficiency standards,energy intensive,emirate abu,industries oil,uae developed,uae established,uae set,vision 2021,energy water,world class,clean energy,blue carbon,12 paragraph
ARG,ngos associations,public agencies,paris agreement,national public,del fuego,tierra del,emissions gap,conditional measures,acdi proadapt,associations avina,avina acdi,buenos aires,del estero,entre ríos,santiago del,gap report,million tco2eq,climate change,agro industry,argentina reviewed
ARM,republic armenia,tons capita,climate change,189 tons,633 million,armenia ratified,armenia stated,emissions limitation,emissions limiting,generations use,limiting volume,quantitative contribution,volume ghg,volume total,billion people,ecosystem approach,organic carbon,ghg emissions,based principle,open transparent
ATG,antigua barbuda,caribsave partnership,mitigation targets,barbuda indc,partnership 2012,profile antigua,water sector,risk profile,seawater desalination,change risk,act 2015,grid renewable,climate change,adaptation targets,climate impacts,analysis antigua,emergency services,partnership 2015,protected carbon,essential services
AUS,australia target,australia intended,australia intends,australian government,cent 2005,2005 levels,28 cent,emissions reductions,achieving australia,agreement differ,agreement rules,apply ipcc,approach australia,arrangements agreement,australia 2030,australia reserves,differ way,finalised new,impacts definition,intends apply
AZE,occupied territories,republic azerbaijan,thousand hectares,co2 equivalent,oil gas,gg co2,20 territory,azerbaijan believes,country azerbaijan,damage environment,enhancement use,equivalent excluding,gas processing,million refugees,territory azerbaijan,use alternative,climate change,equivalent including,heat energy,occupation 20
BDI,climate change,conditional objective,key measure,unconditional objective,sector burundi,hydroelectric power,vision 2025,acces climate,adaptation soil,burundi vision,burundian economy,improved ovens,indc burundi,sanitation environment,sectoral group,relating climate,change 2012,conservation project,group water,strategy action
BEN,mt co2,climate change,000 ha,implementation cdn,2021 2030,2017 2021,status quo,niger basin,strategies programs,conditional contribution,phase implementation,preparatory phase,programs projects,ha year,hydro agricultural,cooking equipment,action program,improved farming,2016 2021,farming techniques
BFA,burkina faso,000 000,500 000,000 ha,improved cook,climate change,animal husbandry,implementation costs,cook stoves,600 000,housing urban,000 regions,ha cumul,unconditional scenario,2030 horizon,adaptation scenario,800 000,conditional scenario,cook stove,boucle du
BGD,bangladesh climate,gov bd,power transport,climate change,indc implementation,transport industry,industry sectors,http www,efficiency conservation,set table,ghg emissions,project list,sectors bangladesh,mitigation actions,set section,2011 2030,future ghg,2030 mtco2e,bangladesh energy,based bangladesh
BHR,kingdom bahrain,ministry works,action mitigation,bahrain able,bahrain does,carbon recovery,does understanding,present kingdom,sink planning,works municipalities,engage international,initiative project,planning engage,transportation communications,civil aviation,international union,ministry transportation,union conservation,mitigation benefits,urban planning
BHS,climate change,potable water,sea level,mean sea,change bahamas,commonwealth bahamas,government bahamas,critical infrastructure,forestry act,shore marine,reverse osmosis,based economy,bahamas committed,bahamas indc,bahamas initial,bahamas provide,bahamas second,bahamas undertaken,effects associated,entire archipelago
BIH,1990 levels,bosnia herzegovina,district heating,generation capacity,brčko district,mw 2030,scenario does,baseline scenario,development financial,power generation,year 1990,mitigation scenario,entities brčko,federation bosnia,ggco2e lucf,mw total,provided condition,reduction possible,scenario power,snc fbur
BLR,republic belarus,ministers republic,gas emissions,greenhouse gas,resolution council,council ministers,carbon intensity,000 ha,commitments republic,thousand tons,climate change,approved resolution,implementation best,co2 eq,available technologies,best available,sector specific,reduction greenhouse,tons co2,emissions base
BLZ,climate change,cumulative reduction,areas belize,expected cumulative,government belize,planned activities,approximately usd,growth sustainable,overall goal,action plan,coastal marine,estimated cost,strategy action,change belize,cost following,following planned,implementation belize,sector belize,national climate,solid waste
BOL,environmental functions,holistic development,mother earth,climate crisis,community management,plurinational state,state bolivia,historical responsibility,million hectares,climate change,climate justice,following results,hectares 2030,ecological footprint,management forests,forests agricultural,extreme poverty,actions promoted,bolivia considers,bolivia developed
BRA,100 ipcc,ipcc ar5,gwp 100,brazil indc,gtp 100,accessed september,gov br,levels gtco2e,tco2e gwp,climate change,cambridge united,eds cambridge,government brazil,gtco2e gwp,kingdom new,ny usa,press cambridge,qin plattner,stocker qin,york ny
BRB,climate change,barbados national,ghg emissions,barbados sustainable,emissions barbados,sids barbados,energy efficiency,sustainable energy,http www,reduce ghg,economy wide,green economy,17th september,2008 chosen,2008 levels,assumed remain,barbadian economy,barbados committed,barbados experiencing,barbados taking
BRN,brunei darussalam,government brunei,department prime,energy department,minister office,land transport,white paper,prime minister,mt co2eq,transport white,building guidelines,heart borneo,climate change,efficiency conservation,total power,borneo initiative,brunei 2035,darussalam continue,wawasan brunei,ghg emissions
BTN,kingdom bhutan,tons co2e,carbon neutral,million tons,remain carbon,climate change,economic development,commitment remain,communication bhutan,development bhutan,technologies approaches,hydropower projects,fragile mountainous,monitoring assessment,national forest,tons co2,climate resilient,promote climate,estimated million,intended actions
BWA,climate change,botswana developing,botswana vulnerable,conducive legal,government botswana,taking 2010,target estimated,ghgs emissions,emissions reduction,achieve overall,based baseline,carbon strategy,2030 taking,estimated based,inventory ghgs,15 2030,term low,year emission,reduction 15,communication united
CAF,african republic,central african,000 000,eq co2,kt eq,500 000,animal husbandry,adaptation option,energy ip,000 national,000 500,processes use,use solvents,climate change,management programme,emissions central,hydroelectric development,integration project,programme central,sustainable management
CAN,canadian framework,pan canadian,government canada,clean growth,provincial territorial,clean technology,pricing carbon,provinces territories,carbon pricing,growth climate,enable canada,framework clean,2030 target,emissions reductions,carbon pollution,climate change,paris agreement,175 mt,canada committed,canada recognizes
CHE,forest land,switzerland supports,non forest,gas emissions,carbon credits,switzerland indc,switzerland intends,greenhouse gas,fairness considerations,1990 levels,percent 2030,capita emissions,50 percent,use carbon,information switzerland,note switzerland,switzerland commitment,switzerland emission,abatement costs,compared 1990
CHL,climate change,context chile,intensity target,inventory 1990,maps chile,lulucf sector,clp 2011,gob cl,http portal,law 20,mma gob,portal mma,gas inventory,carbon intensity,1990 2010,greenhouse gas,national greenhouse,october 2014,chile october,cross sectional
CHN,low carbon,climate change,agreement shall,countries shall,shall accordance,2015 agreement,enhanced actions,emission trading,developing countries,carbon development,carbon emission,shall stipulate,accordance provisions,green low,provisions convention,developed countries,dioxide emissions,change china,shall strengthened,times 2005
CIV,côte ivoire,billion fcfa,decrease pressure,including decrease,social conflicts,reduction social,levels including,job streams,pressure natural,reduction ghg,life reduction,new qualified,qualified job,emission levels,development new,earnings gains,ecosystem services,maintaining ecosystem,productivity gains,quality life
