AFG,afghanistan,climate,change,national,development,adaptation,ghg,nepa,billion,management,leds,rangelands,needs,precipitation,capacity,emissions,energy,13,emission,rangeland
AGO,angola,000,power,hydropower,project,angolan,climate,energy,wasteforest,emissions,cambambe,scale,adaptation,change,plant,large,biomass,national,mitigation,million
ALB,albania,emissions,indc,greenhouse,regarding,gas,pathway,co2,treaty,change,climate,unfccc,gases,uncertainty,emission,data,capita,convergence,development,sectors
AND,andorra,eq,unabsorbed,biennial,convention,change,climate,report,emissions,parties,ppm,cpdn,1850,1900,2ºc,2014,annex,nations,united,contributions
ARE,uae,energy,dubai,emirate,emirates,abu,dhabi,water,federal,diversification,arab,2021,initiatives,standards,national,efficiency,paragraph,strategy,innovation,development
ARG,argentina,del,ndc,mayds,national,associations,adaptation,ibid,argentine,fuego,tierra,provinces,climate,reviewed,acdi,ngos,change,emissions,paris,aires
ARM,armenia,republic,climate,limitation,tons,adaptation,change,emissions,gt,equal,volume,mitigation,indc,ghg,2050,capita,unfccc,carbon,actions,ecosystems
ATG,barbuda,antigua,climate,energy,caribsave,adaptation,national,hurricanes,targets,freshwater,sector,indc,desalination,change,development,hurricane,water,caribbean,partnership,mitigation
AUS,australia,cent,target,emissions,australian,attachment,agreement,materially,2030,underpinning,differ,global,2005,purchased,apply,2020,finalised,productivity,gwps,climate
AZE,azerbaijan,energy,modern,gas,lulucf,use,hectares,occupied,occupation,thousand,change,armenian,idps,climate,armenia,inflicted,emissions,gg,territories,oil
BDI,burundi,climate,change,national,water,adaptation,management,ovens,development,programme,burundian,production,emissions,strategy,objective,action,resources,897,programmes,research
BEN,benin,climate,ha,cdn,2021,development,mt,00,change,implementation,project,program,sector,energy,000,agricultural,emissions,cotonou,niger,management
BFA,000,burkina,faso,ha,projects,adaptation,development,trend,cook,climate,scenario,500,table,667,mitigation,change,water,energy,project,nord
BGD,bangladesh,climate,bccsap,adaptation,change,bd,mitigation,emissions,energy,indc,bcctf,gov,http,mtco2e,2030,implementation,development,sectors,section,lged
BHR,bahrain,kingdom,energy,water,bapco,project,company,aviation,carbon,gpic,succeeded,efficiency,climate,resources,adaptation,conservation,seagrass,ministry,change,emissions
BHS,bahamas,climate,energy,islands,national,change,archipelago,commonwealth,potable,sea,tourism,water,joaquin,pine,services,cci,cost,resources,sectors,mitigation
BIH,bih,1990,bosnia,herzegovina,scenario,district,emissions,2030,power,emission,res,app,brčko,baseline,energy,levels,install,reduction,mw,relative
BLR,belarus,republic,greenhouse,commitments,gas,emissions,cent,gop,period,development,2030,1990,ministers,change,climate,national,resolution,programmes,carbon,council
BLZ,belize,climate,change,gsds,development,coastal,national,adaptation,management,plan,nccpsap,tourism,sustainable,water,energy,ndc,resources,sector,emissions,mitigation
BOL,bolivia,water,climate,holistic,index,mother,2030,development,systems,energy,functions,management,earth,plurinational,forests,production,change,budget,capacity,forest
