AFG,100 million year,adaptive capacity resilience,10 785 billion,assumes ghg emissions,climate change afghanistan,islamic republic afghanistan,ghg emissions peak,co2 eq gg,national development policies,climate change adaptation,10 percent seen,afghanistan greenhouse gas,assessment global environmental,building needs finance,capacity needs self,climate friendly irrigation,environmental management ncsa,eq gg co2,finance needs usd,ghg emissions afghanistan
AGO,large scale hydropower,solar power plant,project cost million,total project cost,implementing gef agency,30 biomass wasteforest,agriculture food security,biomass wasteforest 95,million tons co2e,emission levels 2030,development angola 2025,gef agency fao,ghg emissions angola,unconditional conditional actions,zones marine ecosystems,bau emission levels,coastal zones marine,mitigation adaptation contributions,103 wind power,23 wind power
ALB,non co2 greenhouse,co2 greenhouse gases,greenhouse gas emissions,albania developing country,albania reserves right,energy community treaty,national communication albania,following decision cp,19 decision cp,baseline scenario target,cp 19 decision,sectors covered indc,emission development pathway,increase greenhouse gas,ultimate objective unfccc,fairness equity ambition,decision cp 19,forestry land uses,international market mechanism,gas emissions removals
AND,andorra biennial report,biennial report united,report united nations,climate change 2014,nations framework convention,united nations framework,framework convention climate,convention climate change,gg co2 eq,21st century compared,approval government andorra,planned contributions cpdn,193 73 gg,2015 parties willing,2ºc 21st century,37 193 73,430 480 ppm,73 gg co2,agreed text having,andorra andorra biennial
ARE,energy intensive industries,united arab emirates,emirate abu dhabi,industries oil gas,intensive industries oil,actions based strategy,article 12 paragraph,based strategy economic,economic diversification yield,efficiency standards uae,food security uae,heavily world class,mitigation benefits uae,paragraph article 12,strategy economic diversification,uae actions based,uae developed implemented,uae undertaking following,article paragraph article,oil gas sectors
ARG,national public agencies,tierra del fuego,emissions gap report,associations avina acdi,avina acdi proadapt,ngos associations avina,santiago del estero,source emissions gap,11 paris agreement,emissions compared participation,entre ríos tucumán,gap report unep,paris agreement argentina,report unep 2016,tucumán santiago del,climate change cabinet,global emissions compared,participation global emissions,decision cp 21,10 11 paris
ARM,189 tons capita,633 million tons,change natural ecosystems,contribution republic armenia,emissions limiting volume,future generations use,republic armenia stated,volume ghg emissions,period 2015 2050,carbon dioxide equivalent,climate change natural,mitigation adaptation actions,national communication unfccc,climate change mitigation,000 giga tons,000 gt billion,02 october 2012,07 tons capita,10 september 2015,11 gt year
ATG,adaptation mitigation targets,antigua barbuda indc,caribsave partnership 2012,profile antigua barbuda,risk profile antigua,change risk profile,climate change risk,analysis antigua barbuda,caribsave partnership 2015,national vulnerability analysis,partnership 2012 climate,protection management act,targets presented indc,vulnerability analysis antigua,environmental protection management,national physical development,physical development plan,2012 climate change,100 electricity demand,2013 national inventory
AUS,australia intended nationally,cent 2005 levels,agreement differ way,agreement rules underpinning,arrangements agreement differ,australia intends apply,australia reserves right,differ way materially,emissions improving productivity,emissions reduction fund,finalised new global,global agreement rules,impacts definition target,materially impacts definition,national energy productivity,parameters finalised new,reduce emissions improving,rules underpinning arrangements,target parameters finalised,underpinning arrangements agreement
AZE,gg co2 equivalent,20 territory azerbaijan,base year total,co2 equivalent excluding,co2 equivalent including,developing country azerbaijan,equivalent excluding lulucf,equivalent including lulucf,occupation 20 territory,oil gas processing,hectares forest area,use alternative renewable,alternative renewable energy,compared base year,10 thousand hectares,100 thousand people,13197 hectares rare,152 natural monuments,2010 equal tons,2019 strengthening capacity
BDI,national strategy action,hydroelectric power plants,acces climate change,adaptation soil water,burundi vision 2025,change adaptation soil,energy sector burundi,resources conservation project,sectoral group water,water resources conservation,water sanitation environment,relating climate change,climate change 2012,group water sanitation,strategy action plan,soil water resources,action plan climate,plan climate change,15 years beginning,2007 national action
BEN,strategies programs projects,improved farming techniques,preparatory phase implementation,hydro agricultural development,000 ha year,period 2021 2030,2017 2021 map,2021 map project,government action program,status quo scenario,gas cooking equipment,niger basin authority,climate investment plan,2017 2021 pag,2021 pag project,action program 2016,compared status quo,cumulative ghg emissions,hydroelectric power station,mt co2 compared
